<120> --> 6092: [n't, wa, about, have, say, would, people, it, thing, one, like, make, when, much, doe, but, ca, did, and, are]
<121> --> 2232: [itunes, music, united, states, store, song, from, available, are, album, match, new, download, service, similarly, paying, will, canada, australia, library]
<37> --> 2207: [service, network, user, cable, access, internet, device, connection, from, will, company, also, like, can, share, allows, sign, without, work, listen]
<5> --> 2183: [..., article, one, this, boy, stopped, facing, thicker, interesting, nothing, seems, writes, no, whenever, ford, posted, of, well, note, new]
<36> --> 2162: [can, smart, car, carplay, feature, password, call, from, filter, text, make, when, view, like, you, direct, without, automatically, number, via]
<145> --> 2099: [pro, macbook, mac, new, n't, do, notebook, machine, buy, pros, model, update, line, also, updated, have, imac, are, reduction, option]
<125> --> 2029: [million, sale, unit, sold, year, number, total, demand, from, last, bloomberg, report, first, record, partner, company, up, overall, increase, shipped]
<116> --> 2026: [photo, case, image, from, photos, headphone, have, been, leaked, posted, new, also, show, are, reached, site, appears, jack, number, back]
<41> --> 2023: [update, bug, issue, fix, software, released, fixed, user, address, number, compatibility, today, this, choose, button, stability, when, improvement, inadvertently, change]
<99> --> 1980: [will, keynote, macworld, san, francisco, announcement, event, ces, expo, announced, show, new, year, january, presentation, from, take, conference, available, product]
<25> --> 1976: [page, site, typically, story, ibooks, information, posted, section, product, link, intellectual, from, news, rumor, analytics, fire, are, reader, about, ibook]
<107> --> 1805: [chip, intel, processor, core, power, performance, are, will, used, up, first, use, from, new, expected, ghz, speed, based, desktop, quad-core]
<112> --> 1763: [test, speed, faster, testing, compared, result, number, percent, difference, compare, overall, up, showing, benchmark, idc, found, are, from, increase, running]
<11> --> 1742: [had, u.s., wa, statement, said, from, were, claim, could, judge, damage, made, group, ruling, after, act, determine, settlement, agreed, yesterday]
<21> --> 1699: [price, cost, pricing, lower, money, are, from, down, option, cash, drop, point, priced, split, rate, selling, low, range, dollar, amount]
<111> --> 1685: [device, application, patent, user, use, technology, method, used, may, interface, would, important, designing, example, using, input, mimic, information, can, a]
<65> --> 1577: [ios, device, feature, update, new, user, apps, mail, find, setting, like, app, updated, settings, can, are, introduced, major, might, center]
<127> --> 1523: [free, magic, tool, get, can, easy, real, kind, track, like, â, create, everything, congress, together, choose, editing, extra, fun, from]
<132> --> 1467: [ipad, pro, mini, ipads, new, model, also, up, generation, will, supply, from, have, earlier, out, are, version, case, preventing, part]
<3> --> 1465: [part, iphone, recognition, map, one, fingerprint, left, conversation, like, out, right, reviewing, around, seen, entrepreneur, from, could, hand, taken, several]
<84> --> 1447: [quarter, market, billion, share, revenue, percent, year, from, u.s., profit, result, nokia, fourth, margin, up, per, fiscal, second, million, call]
<74> --> 1441: [video, audio, stream, streaming, limit, format, ability, can, hd, user, playback, file, also, offer, feature, support, individual, allow, quicktime, alongside]
<70> --> 1440: [--, mac, pc, wa, property, highly, computer, demo, captured, xbox, software, echo, existence, api, false, aid, platform, this, legacy, recognize]
<27> --> 1422: [tv, content, television, new, movie, streaming, tvos, maps, campaign, available, video, netflix, buy, itunes, also, from, pavilion, n't, provider, offer]
<31> --> 1331: [ipod, player, generation, portable, compatible, classic, third-generation, play, steam, wa, digital, music, product, released, version, well, assume, software, first, also]
<20> --> 1324: [mobile, phone, android, smartphone, smartphones, platform, blackberry, market, htc, motorola, manufacturer, user, latest, today, offer, from, cell, announced, year, terminal]
<35> --> 1324: [jobs, steve, ceo, wa, meeting, shareholder, year, he, from, tallest, said, executive, after, company, medical, responsibility, stock, isaacson, during, john]
<101> --> 1322: [model, new, imac, upgrade, upgraded, imacs, dual, latest, previous, two, cpu, core, compared, performance, so-called, broken, machine, number, faster, generation]
<147> --> 1234: [said, times, qualcomm, york, company, sony, led, industry, executive, digital, people, management, warner, would, publicly, inc., report, pair, have, low-cost]
<83> --> 1229: [samsung, china, production, oled, report, digitimes, foxconn, manufacturing, component, from, panel, factory, produce, iphones, will, tsmc, begin, digitimes.com, been, electronics]
<49> --> 1190: [friday, receiving, retailer, weekend, will, theater, morning, yahoo, gold, local, have, customer, country, been, press, august, saturday, beginning, license, store]
<142> --> 1189: [we, a, 're, u, iphone, 've, q, will, about, product, do, impacted, shutdown, call, have, suggest, want, during, important, great]
<46> --> 1136: [store, retail, will, mall, construction, opening, open, city, level, new, announced, also, closed, avenue, from, location, renovation, downtown, likely, large]
<34> --> 1100: [office, offering, discount, purchase, band, available, offer, mac, promotion, product, online, regular, offered, macs, word, saving, up, full, are, also]
<80> --> 1087: [plan, customer, carrier, t-mobile, unlimited, sprint, network, per, offer, line, will, device, gps, new, up, offering, speed, can, are, also]
<118> --> 1085: [team, project, work, working, beats, software, development, job, engineering, hardware, developing, manager, mark, native, position, interface, multitasking, responsible, year, integrate]
<33> --> 1012: [ad, night, new, film, commercial, series, return, playlist, feature, cbs, exercise, two, tone, theme, featuring, electric, one, character, released, movie]
<53> --> 1008: [document, shared, commission, downloads, download, iwork, iphoto, ilife, user, aperture, fcc, pdf, photo, imovie, upload, from, application, garageband, .mac, page]
<124> --> 982: [mini, drive, ram, storage, hard, decline, gb, ssd, memory, gigabit, up, timeline, density, flash, new, ghz, spec, integrated, also, macbooks]
<109> --> 969: [launch, month, september, nearly, new, average, six, set, tree, debut, offering, roll, august, yet, still, receiver, will, see, already, tend]
<103> --> 960: [icloud, service, have, airpods, email, been, may, subscription, were, user, will, sent, storage, had, mobileme, make, back, out, clear, macrumors]
<44> --> 948: [port, connector, usb, thunderbolt, dock, adapter, one, icon, hack, slot, firewire, file, lock, new, two, single, built-in, peripheral, xserve, device]
<95> --> 921: [patent, against, court, case, complaint, filed, legal, action, company, letter, term, licensing, right, trade, product, injunction, order, related, skin, under]
<98> --> 915: [information, about, detail, more, rate, heart, secret, benefit, primary, exact, wake, unique, presence, hidden, timing, known, surfaced, unclear, piece, la]
<60> --> 859: [growth, brand, category, during, consumer, handset, cdma, industry, past, gsm, trend, basis, munster, seen, higher, continue, point, expectation, have, analyst]
<22> --> 851: [live, twitter, news, macrumors, coverage, please, fitness, tweet, post, pebble, thank, presented, provide, daily, viewing, today, hour, can, list, for]
<82> --> 802: [security, account, server, code, access, using, file, login, used, encryption, address, system, gradually, authentication, hacked, when, switched, could, attacker, directory]
<56> --> 800: [camera, earnings, reality, rear, ive, could, feature, facial, finger, iris, multi-touch, gesture, augmented, front-facing, image, screen, lens, wearable, trackpad, technology]
<81> --> 800: [at, t, lte, hp, carrier, fee, area, tethering, customer, up, four, support, are, next, plan, limited, offered, promo, new, pricing]
<139> --> 794: [book, browser, content, publisher, web, browsing, safety, rating, digital, interactive, ibookstore, offer, including, being, create, from, incident, also, warrant, javascript]
<42> --> 779: [research, firm, senior, marketing, cue, schiller, third, according, worldwide, position, lead, phil, held, spot, eddy, director, strategy, mechanism, taking, place]
<119> --> 770: [game, gaming, title, reminders, uploaded, developer, console, transition, lengthy, games, obvious, regulatory, gm, platform, folk, released, run, player, dark, saver]
<43> --> 755: [plus, order, shipping, estimate, are, delivery, mb, customer, pre-orders, tap, week, macmall, can, ship, business, accessible, taking, have, online, planet]
<79> --> 751: [ipod, gb, nano, ipods, new, model, mbps, shuffle, are, refurbished, transit, ilounge, also, toshiba, literally, enormous, line, available, current, september]
<47> --> 735: [microsoft, windows, bill, justice, substantial, labor, pcs, version, department, vista, xp, software, running, gates, intelligent, zune, internet, certification, certified, does]
<12> --> 720: [technology, accessory, smaller, advanced, tip, reach, process, worker, entering, manufacturer, standard, express, company, plant, improve, solution, maker, manufacturing, technologies, us]
<39> --> 714: [verizon, country, deal, agreement, stair, talk, ireland, workout, signed, billing, india, kingdom, america, brazil, mexico, company, spain, move, carrier, deployed]
<4> --> 710: [air, sensor, kuo, supply, lg, chain, ming-chi, will, kgi, sensitive, feature, citing, accepting, research, water, also, capability, wallet, morgan, improvement]
<129> --> 708: [mode, top, list, quality, score, high, includes, usa, chart, respectively, start, month, eight, are, camp, cycle, upgrading, definition, wonder, beat]
<78> --> 703: [cook, advertising, executive, chief, world, paid, show, officer, overhauled, episode, iad, directv, hbo, watching, fox, today, nbc, free, news, raw]
<63> --> 697: [safari, web, flash, adobe, nitro, breakdown, load, content, version, page, site, banner, navigate, using, lightroom, webkit, scroll, available, platform, wheel]
<144> --> 691: [best, buy, from, pacific, target, paint, also, custom, select, estimated, set, will, snow, dual-core, are, product, monday, available, selling, down]
<76> --> 689: [card, gift, new, digital, send, item, can, store, from, email, order, updated, update, interface, today, use, are, feature, friend, remove]
<8> --> 670: [display, lcd, screen, monitor, displays, cinema, cable, next-generation, up, larger, two, roundup, new, showing, dictation, gadget, anti-reflective, improved, hd, environmental]
<30> --> 660: [power, button, surface, sapphire, size, home, device, second, adapter, feature, screen, new, cost, carrying, included, edge-to-edge, tag, flat, hdmi, original]
<29> --> 645: [forum, siri, discussion, thread, european, hearing, follow, read, support, due, post, political, global, europe, are, limited, union, assistant, sub, site]
<16> --> 629: [computer, engineer, focusing, gray, hiring, award, growing, language, foreign, drawing, designer, macintosh, private, phase, joining, framework, oracle, ii, community, public]
<128> --> 628: [graphic, nvidia, photoshop, card, gpu, revised, radeon, optical, ultra, geforce, prime, ati, peak, gpus, explore, performance, dash, opengl, conventional, release]
<17> --> 609: [battery, life, charging, charge, signal, longer, better, american, mah, are, safe, case, who, route, under, idea, for, shutting, photography, performance]
<15> --> 585: [event, medium, monthly, preparing, seeding, dropping, october, acoustic, stage, firefox, numbers, invitation, agree, special, wednesday, scheduled, managed, announcement, corning, unveiling]
<14> --> 583: [design, form, factor, ordering, look, issues, additionally, choice, prototype, fashion, serial, side, measure, change, current, involved, narrow, performing, component, similar]
<88> --> 577: [modem, trial, prevent, investigation, appeal, public, fbi, unlock, asked, access, won, extension, jailbreak, state, block, threat, earlier, website, reset, forced]
<146> --> 569: [option, enabled, change, sure, disabled, manage, notes, third-party, sharing, improves, master, setting, folder, open, default, file, use, versus, status, shortcut]
<9> --> 562: [screen, resolution, size, michigan, pixel, larger, inch, introduced, arrived, historic, light, panel, high, rhode, current, higher, ratio, indeed, fight, orientation]
<106> --> 539: [channel, face, competition, show, record, distribution, dedicated, achieve, programming, entertainment, cutting, resellers, introducing, straight, pick, artist, speaking, wrong, hold, awesome]
<2> --> 537: [president, vice, speaker, plastic, chrome, casing, aluminum, said, central, new, scanning, product, tesla, eight, lighter, metal, food, will, trouble, announced]
<131> --> 535: [street, wall, journal, d, all, people, mr., interview, things, walt, will, ticket, each, tonight, mossberg, height, eastern, avatar, wsj, partners]
<105> --> 527: [redesigned, physical, leak, keychain, represent, karl, inventory, fake, accurate, claimed, pointed, texas, consistent, carried, dimension, poster, alleged, there, shop, shown]
<26> --> 518: [switch, are, been, leviton, now, homekit, learning, becoming, full, available, need, edition, out, look, percent, retail, from, thought, different, market]
<68> --> 515: [never, window, heard, facetime, ahead, finder, feature, 've, ichat, covering, ramp, possibly, have, licensed, carry, will, albeit, conflicting, scaling, struggling]
<123> --> 510: [google, grand, park, local, street, celebrating, thanks, fair, los, angeles, translation, collection, translate, biography, nexus, identify, from, scratch, meaning, intuitive]
<122> --> 507: [us, ios, introduces, note, resource, http, many, do, tracking, something, although, when, would, reverse, design, i, combined, pack, overview, anytime]
<138> --> 507: [pay, glass, payment, module, warning, activation, recall, antenna, receive, nfc, option, charger, portrait, broader, used, like, use, roundup, support, using]
<6> --> 497: [starbucks, program, location, customer, dubai, repair, replacement, will, located, typical, expanding, need, requires, experiencing, tap, love, eligible, special, reopen, cap]
<0> --> 495: [student, activity, school, university, users, approximately, education, field, are, age, fuel, mainly, largely, very, educational, celebrity, program, course, fitbit, incoming]
<108> --> 493: [notification, message, imessage, mobile, trademark, hong, kong, messaging, ban, subsidiary, sms, resulting, you, s, h, cell, region, applied, p, use]
<134> --> 481: [waiting, label, create, somebody, independent, single, cnet, valuable, rest, death, reporter, apart, explanation, woman, just, rolleyes, powermacs, wrist, stuck, gender]
<114> --> 476: [name, third-party, tags, domain, owned, wa, removed, slow, handle, it, purpose, registered, information, been, unknown, pace, tim, removal, confusion, down]
<90> --> 473: [japan, family, germany, declined, child, helped, leader, leaving, wa, win, tower, promised, wish, fell, boston, world, delivering, hitting, prepared, idg]
<73> --> 471: [facebook, social, vehicle, instagram, networking, integration, improving, productivity, commitment, critical, swift, all, yeah, parallels, including, blocked, site, tray, post, distance]
<32> --> 465: [gifts, conference, wwdc, visual, instant, developers, worldwide, session, malware, developer, debit, amazing, happy, description, pre, engineer, several, flow, birthday, learn]
<126> --> 453: [home, sound, box, elsewhere, set, shell, thin, dozen, body, room, weather, complex, hub, living, tvs, stop, theoretical, therefore, sit, invest]
<133> --> 448: [tax, credit, government, river, strong, filing, listing, guidance, canada, decision, transaction, locator, retailer, job, driving, trust, canadian, strength, sec, international]
<38> --> 443: [wireless, wi-fi, airport, extreme, station, administration, base, connected, time, roundup, support, network, capsule, connecting, model, system, via, regulation, begin, efi]
<7> --> 433: [caution, roundups, facility, strategy, box, shut, set-top, nintendo, plan, focused, internally, catch, confused, down, itv, his, playstation, spent, observer, applies]
<54> --> 430: [final, cut, pro, flight, studio, sim, logic, seating, dvd, nab, x, professional, audience, passenger, association, stats, las, journalist, vegas, april]
<97> --> 425: [holiday, laptop, season, ifixit, opposite, engadget, bmw, widget, korea, teardown, verge, gizmodo, unsurprisingly, textbook, pilot, impression, traditional, forecast, opt, nike]
<19> --> 422: [higher, taiwan, notebook, equipment, huberty, have, cite, from, rise, rose, separately, stanley, are, marketshare, singapore, paired, yield, seeking, increased, drive]
<148> --> 420: [amazon, listed, month, animation, direct, techcrunch, offering, help, error, sending, notice, better, finding, approval, earlier, b, required, requirement, proper, simpler]
<149> --> 412: [ecosystem, exchange, agency, role, mixed, house, publication, organization, proximity, partner, director, control, collaboration, informed, breaking, paper, author, meet, predict, mission]
<23> --> 402: [machine, creative, professional, premium, tool, intelligence, study, australian, suite, or, acquire, publishing, product, popularity, scott, artificial, returned, adobe, struck, term]
<50> --> 401: [color, black, messages, white, cold, chinese, tomorrow, along, new, revamped, like, earphone, come, mm, thickness, megapixel, hue, available, taller, specification]
<13> --> 400: [keyboard, key, usb-c, mouse, macrumors, natural, one, slight, owner, ¦, different, machine, pressed, including, fine, replacing, simple, instead, replace, steady]
<18> --> 398: [barrier, continues, entry, combination, ibm, shelf, specific, enterprise, heard, rapids, highest, from, indeed, provide, motorola, quarterly, raised, meanwhile, gaining, consumption]
<87> --> 394: [sierra, third, party, firmware, media, toggle, sharp, backup, cause, manually, package, command, criticism, researcher, majority, can, solution, successfully, users, available]
<110> --> 380: [building, providence, area, large, indoor, investor, also, main, expanding, star, lose, super, april, site, frequency, wozniak, enter, performed, will, constraint]
<135> --> 375: [magazine, fortune, middle, travel, reports, expressed, exactly, because, angle, parent, spokesman, accepted, everywhere, reaching, accompanied, remained, pursuing, ensuring, tom, global]
<96> --> 368: [center, controller, aiming, california, universal, virtual, layout, georgia, flagship, exclusive, christmas, multiple, holding, identity, also, austin, jet, in-house, east, site]
<69> --> 358: [lawsuit, front, authorized, energy, side, suit, replaced, represents, weighs, abc, covered, break, row, metal, cell, losing, smaller, hole, part, sweet]
<141> --> 355: [touch, privacy, ten, health, touch-sensitive, uae, gartner, airplay, seattle, shared, slowed, imagination, control, touchscreen, oled, iphone/ipod, pattern, changing, understands, finishing]
<28> --> 353: [search, cloud, emoji, contacts, calendars, newspaper, rental, discovery, result, minute, web, engine, highlight, clock, customized, access, continuity, gmail, alarm, count]
<104> --> 350: [affected, review, lightning, section, usage, request, explain, traffic, anything, provider, grid, revisit, fee, attack, respond, unlike, ars, guideline, allow, user]
<100> --> 342: [bank, david, blog, point, tipster, bridge, palm, brew, survey, sunday, received, place, wing, bundle, april, those, meanwhile, tuaw, qualify, roundup]
<140> --> 338: [data, separate, hotspot, capacity, external, se, removing, backing, tier, two, corresponding, connecting, default, amount, new, kodak, includes, keep, storage, optimal]
<102> --> 329: [watch, r, watchos, hd, approved, adopter, iwatch, alongside, stronger, forstall, philip, first, topped, rejection, device, watchkit, marketing, transferred, integrates, rep]
<85> --> 321: [supported, comparison, brand-new, menu, plugin, enabled, sleep, boot, older, similarly, crash, progress, multiple, protected, playing, english, solved, need, suck, collected]
<115> --> 319: [shift, light, blue, mapping, claimed, reuters, spoke, widely, turn, balance, equipped, both, after, said, ranging, first, green, have, red, activate]
<136> --> 315: [id, adoption, radio, sdk, fourth, pencil, active, australia, kit, solar, software, latest, discover, released, permission, hr, earlier, mainstream, option, give]
<24> --> 306: [my, turned, board, mistakenly, small, library, learn, logic, tomtom, looked, auction, ftc, included, eliminating, ebay, seller, had, ringtones, compromise, experiencing]
<62> --> 293: [shopping, chicago, replace, voice, table, motion, multiple, place, includes, microphone, background, sent, box, roundup, also, confirmed, chassis, skype, rendering, promote]
<130> --> 293: [member, cover, asking, solid, switching, rule, visitor, protection, recording, duplicate, square, tracker, utility, copy, favor, outlining, integrated, photograph, requiring, recorded]
<45> --> 288: [bar, october, genius, panel, kindle, florida, training, passed, weight, clicking, scan, visit, corner, footprint, asia, schedule, lucky, involving, appointment, scanner]
<52> --> 281: [lion, shipment, wide, tag, â, grow, verification, caused, stick, asus, rank, disclosure, strong, acer, gained, order, number, chosen, dialog, resident]
<92> --> 280: [bluetooth, temporarily, newest, vendor, driver, often, seed, printer, law, ruled, chipsets, latest, headset, chipset, inclusion, contain, sidebar, support, backlighting, transmitter]
<86> --> 277: [disney, concept, toward, configuration, consequently, sometimes, hired, joined, expert, imminent, deploy, pixar, gene, circular, deployment, counterpart, deeply, hosting, correctly, participating]
<71> --> 271: [fan, ai, secure, silver, apis, renewable, leave, needed, jury, home, attorney, absence, talent, exploring, monitoring, deep, handled, division, find, santa]
<67> --> 249: [pm, push, campus, different, downloaded, mountain, gt, installed, delightful, view, nearby, credit, watt, die, worse, inspire, embedded, challenge, running, look]
<72> --> 233: [north, galaxy, cupertino, edge, tab, negotiation, beach, headquarters, logo, smaller, absolutely, completed, direction, carolina, earlier, proud, contributor, professor, path, lisa]
<57> --> 206: [space, huawei, welcome, topic, foot, arab, emirates, trump, stand, german, environment, depth, italy, successor, constrained, proven, curved, imaging, describe, write]
<117> --> 206: [am, briefly, visible, portion, helpful, reading, yellow, brian, slower, minimum, paul, packaging, institution, missing, restore, overhaul, valve, refer, newly, insert]
<143> --> 191: [youtube, competitor, practice, loop, elevator, proposal, brightness, auto, feed, import, bag, contrast, broad, pocket, adjust, implement, consider, silent, customizable, simplicity]
<10> --> 161: [discovered, database, navigation, dispute, dell, filesystem, distributed, actively, korean, trio, relates, operate, turn-by-turn, suggests, searching, leverage, pre-installed, exclusively, navigon, earlier]
<77> --> 160: [redesign, material, applecare, knowledge, second-generation, began, associated, restriction, remaining, referred, suddenly, rare, document, gamut, slipped, export, maintain, collecting, when, museum]
